id,count,age
0,4,2.4
1,4,3.5
2,3,2.0
3,5,4.4
4,3,3.1
5,4,3.2
6,3,1.0
7,4,2.7
8,4,3.3
9,4,5.0
10,5,2.2
11,7,2.0
12,7,1.3
13,7,2.8
14,6,1.8
15,5,1.6
16,8,3.0
17,3,1.6
18,7,3.6
19,5,3.1
20,7,3.6
21,7,1.3
22,3,1.9
23,3,2.3
24,7,4.9
25,3,4.0
26,4,1.4
27,8,3.1
28,5,2.2
29,7,1.5
30,7,3.7
31,5,2.5
32,7,4.2
33,3,3.8
34,6,4.3
35,3,3.5
36,3,3.3
37,8,1.3
38,7,1.1
39,7,4.9
40,3,4.4
41,6,1.6
42,3,5.0
43,8,3.2
44,7,2.5
45,4,3.9
46,3,4.8
47,8,4.7
48,3,3.1
49,5,3.2
50,4,3.9
51,7,1.4
52,7,3.4
53,5,4.6
54,3,1.7
55,6,2.4
56,7,4.1
57,5,1.3
58,7,3.6
59,4,1.8
60,8,1.6
61,3,1.9
62,7,1.5
63,4,2.4
64,6,1.4
65,7,3.8
66,7,4.3
67,7,3.2
68,5,2.5
69,6,1.2
70,7,2.1
71,8,2.6
72,3,4.7
73,7,1.3
74,8,2.7
75,4,3.7
76,5,1.5
77,4,3.1
78,6,1.9
79,7,4.4
80,6,2.3
81,4,2.0
82,3,4.5
83,7,3.8
84,7,4.5
85,7,3.0
86,8,1.9
87,5,4.3
88,5,1.8
89,8,2.1
90,5,2.2
91,3,2.9
92,6,3.0
93,5,4.5
94,7,1.2
95,4,3.1
96,7,3.9
97,8,3.6
98,8,3.4
99,7,2.2
100,6,4.1
101,3,4.6
102,8,4.9
103,7,3.4
104,3,4.8
105,6,3.9
106,7,3.2
107,6,1.2
108,7,4.3
109,3,2.3
110,3,1.6
111,5,2.2
112,3,3.5
113,4,3.3
114,7,2.4
115,5,1.7
116,5,3.8
117,3,3.0
118,6,2.2
119,5,2.4
120,7,3.8
121,6,1.0
122,3,5.0
123,7,3.3
124,7,4.4
125,8,3.0
126,7,1.4
127,4,4.4
128,4,3.9
129,3,4.2
130,8,4.5
131,3,5.0
132,8,3.7
133,5,1.1
134,8,3.5
135,7,1.7
136,7,3.9
137,5,1.7
138,7,2.5
139,7,2.0
140,5,2.1
141,7,2.2
142,4,3.8
143,4,1.2
144,6,2.6
145,5,1.8
146,7,4.8
147,7,2.3
148,3,4.3
149,6,5.0
150,5,2.1
151,6,2.2
152,7,2.5
153,6,4.2
154,4,3.3
155,8,2.8
156,3,3.5
157,5,4.1
158,6,1.6
159,3,3.4
160,6,3.2
161,7,4.5
162,6,4.0
163,7,4.0
164,6,1.8
165,7,3.0
166,7,3.3
167,8,1.5
168,5,3.3
169,7,4.1
170,4,3.5
171,7,3.7
172,7,1.7
173,5,1.5
174,5,4.5
175,6,2.2
176,7,4.6
177,5,3.4
178,8,4.6
179,5,4.8
180,7,1.6
181,4,3.7
182,6,2.1
183,3,1.8
184,3,1.2
185,7,1.8
186,4,2.0
187,4,4.5
188,7,4.6
189,4,1.1
190,5,1.4
191,4,4.6
192,3,1.3
193,8,3.7
194,5,3.5
195,6,3.8
196,8,2.9
197,4,3.4
198,7,2.5
199,3,2.6
200,6,3.1
201,5,2.5
202,6,4.9
203,6,4.6
204,5,1.7
205,4,2.2
206,7,3.2
207,6,4.4
208,5,1.7
209,4,2.1
210,4,2.3
211,3,3.7
212,4,1.2
213,4,2.3
214,6,3.5
215,8,4.4
216,5,1.6
217,3,2.2
218,3,3.0
219,3,3.7
220,7,3.6
221,6,4.2
222,4,1.4
223,5,2.2
224,5,2.0
225,4,4.7
226,4,3.3
227,4,1.8
228,4,1.0
229,4,2.1
230,3,2.1
231,6,4.1
232,8,3.6
233,5,2.1
234,7,2.8
235,4,2.3
236,4,3.8
237,5,4.6
238,4,2.4
239,4,4.2
240,3,1.3
241,7,2.7
242,8,2.8
243,6,1.2
244,5,4.4
245,5,2.0
246,5,1.6
247,3,3.0
248,8,3.9
249,4,2.2
250,6,1.6
251,7,1.1
252,3,4.4
253,7,1.3
254,5,1.9
255,7,4.6
256,7,3.3
257,6,3.4
258,8,2.9
259,3,1.9
260,6,2.6
261,8,1.8
262,3,3.8
263,4,3.5
264,3,4.4
265,6,4.0
266,8,4.8
267,8,2.5
268,8,2.8
269,8,1.0
270,3,1.8
271,3,4.4
272,4,1.3
273,5,1.0
274,4,3.3
275,6,4.2
276,5,3.1
277,8,3.3
278,3,3.7
279,6,1.6
280,4,3.0
281,6,1.2
282,7,3.5
283,5,2.8
284,7,1.0
285,6,2.6
286,4,4.8
287,7,2.7
288,6,3.1
289,4,2.1
290,3,1.5
291,8,4.5
292,3,2.6
293,6,3.3
294,3,4.1
295,7,2.9
296,5,3.2
297,6,3.4
298,7,1.8
299,7,3.3
300,4,4.0
301,6,1.1
302,3,2.5
303,3,1.9
304,6,4.2
305,6,4.1
306,3,3.6
307,6,2.8
308,6,2.4
309,3,1.8
310,4,4.1
311,8,4.6
312,5,4.4
313,6,3.8
314,6,4.6
315,4,2.6
316,7,4.3
317,3,3.3
318,4,3.7
319,6,1.9
320,8,2.8
321,4,2.9
322,6,5.0
323,3,4.6
324,8,4.1
325,3,1.6
326,3,2.1
327,8,2.8
328,4,3.0
329,6,3.4
330,5,4.9
331,8,3.4
332,6,2.7
333,3,4.6
334,8,2.4
335,3,5.0
336,5,2.7
337,3,3.4
338,7,3.6
339,4,2.8
340,6,1.8
341,6,2.3
342,6,2.9
343,3,3.9
344,7,1.8
345,3,2.0
346,5,3.7
347,7,2.2
348,4,1.7
349,4,2.5
350,3,1.2
351,6,2.5
352,4,2.5
353,4,3.0
354,3,1.4
355,5,2.6
356,6,4.4
357,7,2.9
358,3,3.1
359,6,4.0
360,3,2.4
361,3,1.4
362,6,4.1
363,7,2.7
364,7,3.6
365,4,4.2
366,6,1.6
367,7,2.8
368,6,2.9
369,7,1.4
370,8,1.5
371,3,4.5
372,5,1.4
373,4,1.2
374,3,1.4
375,3,2.0
376,5,1.0
377,6,2.0
378,3,2.7
379,5,3.0
380,7,3.1
381,5,2.1
382,4,1.8
383,6,1.3
384,3,2.8
385,4,1.1
386,6,1.9
387,6,4.8
388,7,1.4
389,4,2.9
390,3,1.8
391,6,1.9
392,7,3.7
393,6,3.3
394,8,2.9
395,5,1.8
396,6,2.2
397,4,3.5
398,7,2.6
399,6,4.0
400,7,3.4
401,6,2.3
402,5,4.7
403,6,2.5
404,3,3.9
405,5,1.1
406,8,3.8
407,8,4.7
408,8,1.2
409,6,4.4
410,5,3.5
411,6,1.3
412,6,5.0
413,3,4.1
414,3,2.0
415,4,1.5
416,5,2.3
417,5,3.8
418,5,1.7
419,6,4.7
420,8,4.0
421,6,2.8
422,7,1.6
423,4,3.7
424,6,3.7
425,7,2.2
426,7,2.0
427,5,3.1
428,3,2.1
429,3,4.3
430,3,3.7
431,6,2.0
432,4,2.8
433,5,3.8
434,8,2.9
435,6,4.7
436,4,2.7
437,7,4.0
438,3,2.3
439,7,3.6
440,7,4.2
441,6,2.7
442,5,3.7
443,3,1.9
444,8,2.6
445,7,3.3
446,3,3.9
447,3,4.5
448,5,2.7
449,4,4.8
450,4,2.7
451,5,4.6
452,7,1.8
453,4,4.7
454,5,4.2
455,5,3.4
456,5,2.0
457,7,4.3
458,6,1.3
459,5,3.9
460,7,1.5
461,4,2.0
462,6,4.2
463,8,4.2
464,7,2.4
465,7,1.8
466,3,4.2
467,7,2.3
468,4,1.5
469,4,4.5
470,3,2.7
471,3,4.6
472,8,3.5
473,7,4.5
474,8,1.1
475,4,3.7
476,4,1.7
477,8,4.4
478,7,2.7
479,7,2.1
480,4,3.9
481,7,2.7
482,3,2.4
483,4,3.3
484,5,2.3
485,3,4.7
486,4,2.2
487,4,2.1
488,3,1.3
489,7,4.0
490,4,4.4
491,4,2.2
492,8,2.9
493,4,2.5
494,6,3.6
495,5,4.3
496,6,1.5
497,5,1.1
498,7,3.1
499,7,1.3
500,4,4.0
501,7,1.8
502,6,4.9
503,6,1.2
504,8,2.1
505,8,4.0
506,7,3.2
507,3,3.1
508,7,1.5
509,4,1.7
510,5,4.7
511,7,4.8
512,3,3.7
513,6,2.9
514,3,4.0
515,6,1.6
516,6,2.0
517,7,2.5
518,4,4.7
519,3,2.9
520,3,4.1
521,3,2.8
522,7,3.5
523,3,3.1
524,6,1.2
525,4,2.7
526,6,2.5
527,6,1.1
528,5,4.8
529,3,1.3
530,4,4.7
531,7,2.6
532,4,4.6
533,7,3.2
534,5,4.2
535,7,1.2
536,3,4.2
537,3,3.3
538,6,4.9
539,3,4.2
540,8,3.4
541,6,2.8
542,7,2.5
543,8,3.3
544,3,3.2
545,4,3.3
546,3,1.5
547,6,2.3
548,3,2.3
549,6,2.6
550,5,4.4
551,4,4.0
552,8,3.0
553,3,3.8
554,8,3.4
555,6,4.8
556,6,3.5
557,8,1.1
558,7,2.1
559,6,3.1
560,5,1.9
561,6,1.4
562,4,4.9
563,5,1.5
564,3,3.0
565,7,3.8
566,5,1.7
567,7,2.0
568,8,4.6
569,5,2.0
570,6,1.0
571,7,4.4
572,7,2.3
573,4,2.6
574,5,4.8
575,7,2.3
576,5,2.3
577,6,1.9
578,5,2.3
579,7,1.5
580,7,4.2
581,5,1.2
582,5,2.3
583,7,2.2
584,7,1.5
585,7,4.3
586,4,2.7
587,3,1.4
588,4,4.9
589,3,1.1
590,3,3.5
591,6,2.1
592,3,4.9
593,7,1.9
594,7,4.0
595,8,4.9
596,3,4.2
597,8,1.6
598,5,3.6
599,5,2.3
600,5,2.5
601,8,3.1
602,4,4.7
603,7,1.9
604,7,4.1
605,5,3.0
606,8,3.2
607,4,2.4
608,6,2.3
609,6,3.7
610,8,1.8
611,8,2.8
612,4,3.6
613,6,3.2
614,3,3.6
615,3,2.4
616,5,1.7
617,4,3.2
618,4,4.5
619,3,4.8
620,8,3.3
621,7,4.0
622,7,4.7
623,3,3.8
624,5,4.6
625,4,1.6
626,4,2.6
627,7,1.4
628,7,2.0
629,8,2.3
630,8,2.8
631,4,1.3
632,5,2.1
633,7,3.7
634,5,3.8
635,6,1.5
636,4,4.3
637,8,4.2
638,7,3.6
639,4,2.5
640,6,2.2
641,4,3.5
642,3,3.2
643,7,3.9
644,3,1.1
645,4,4.6
646,7,4.0
647,4,2.8
648,5,4.9
649,8,3.8
650,7,3.1
651,3,2.5
652,6,1.4
653,3,1.9
654,7,3.8
655,6,3.3
656,7,3.0
657,7,3.9
658,7,3.1
659,5,2.5
660,5,4.3
661,7,3.3
662,8,2.7
663,6,3.6
664,6,2.9
665,7,3.2
666,7,4.3
667,4,2.2
668,6,3.0
669,7,2.8
670,7,5.0
671,8,2.5
672,6,3.4
673,7,2.1
674,3,4.6
675,5,3.9
676,5,2.2
677,4,1.3
678,7,2.6
679,7,2.7
680,8,4.7
681,6,4.5
682,7,1.8
683,6,2.8
684,4,2.7
685,6,5.0
686,6,2.7
687,5,2.6
688,7,1.4
689,6,1.2
690,6,1.8
691,7,2.9
692,6,4.7
693,3,4.4
694,8,2.9
695,5,1.6
696,5,2.5
697,5,2.3
698,3,4.6
699,5,5.0
